x,y,z,Raw q1,q1,Raw q2,q2,Raw q3,q3,Raw q4,q4
87.5,-137.5,-5,1381,-58.59340659,2712,-58.41758242,2392,-30.28571429,822,88.38
87.5,-150,-5,1352,-61.14285714,2712,-58.41758242,2357,-27.20879121,809,84.61
87.5,-162.5,-5,1333,-62.81318681,2713,-58.50549451,2320,-23.95604396,800,82
87.5,-175,-5,1318,-64.13186813,2716,-58.76923077,2282,-20.61538462,794,80.26
87.5,-187.5,-5,1298,-65.89010989,2721,-59.20879121,2246,-17.45054945,783,77.07
87.5,-200,-5,1282,-67.2967033,2729,-59.91208791,2201,-13.49450549,770,73.3
87.5,-212.5,-5,1270,-68.35164835,2734,-60.35164835,2158,-9.714285714,763,71.27
87.5,-225,-5,1255,-69.67032967,2747,-61.49450549,2112,-5.67032967,752,68.08
87.5,-237.5,-5,1247,-70.37362637,2761,-62.72527473,2065,-1.538461538,742,65.18
87.5,-250,-5,1234,-71.51648352,2774,-63.86813187,2016,2.769230769,732,62.28
87.5,-137.5,15,1374,-59.20879121,2635,-51.64835165,2430,-33.62637363,815,86.35
87.5,-150,15,1356,-60.79120879,2636,-51.73626374,2395,-30.54945055,806,83.74
87.5,-162.5,15,1336,-62.54945055,2638,-51.91208791,2356,-27.12087912,794,80.26
87.5,-175,15,1314,-64.48351648,2641,-52.17582418,2318,-23.78021978,785,77.65
87.5,-187.5,15,1300,-65.71428571,2653,-53.23076923,2278,-20.26373626,772,73.88
87.5,-200,15,1282,-67.2967033,2660,-53.84615385,2238,-16.74725275,766,72.14
87.5,-212.5,15,1272,-68.17582418,2672,-54.9010989,2191,-12.61538462,754,68.66
87.5,-225,15,1255,-69.67032967,2683,-55.86813187,2146,-8.659340659,747,66.63
87.5,-237.5,15,1244,-70.63736264,2700,-57.36263736,2099,-4.527472527,735,63.15
87.5,-250,15,1236,-71.34065934,2716,-58.76923077,2045,0.21978022,721,59.09
