x,y,z,Raw q1,q1,Raw q2,q2,Raw q3,q3,Raw q4,q4
175,-137.5,-5,1595,-39.78021978,2734,-60.35164835,2187,-12.26373626,768,72.72
175,-137.5,0,1596,-39.69230769,2729,-59.91208791,2194,-12.87912088,763,71.27
175,-137.5,15,1597,-39.6043956,2664,-54.1978022,2223,-15.42857143,759,70.11
175,-137.5,30,1601,-39.25274725,2616,-49.97802198,2244,-17.27472527,752,68.08
175,-137.5,45,1585,-40.65934066,2567,-45.67032967,2260,-18.68131868,744,65.76
175,-137.5,60,1588,-40.3956044,2517,-41.27472527,2270,-19.56043956,732,62.28
175,-137.5,75,1586,-40.57142857,2475,-37.58241758,2280,-20.43956044,722,59.38
175,-137.5,90,1585,-40.65934066,2432,-33.8021978,2278,-20.26373626,704,54.16
175,-137.5,105,1589,-40.30769231,2396,-30.63736264,2273,-19.82417582,691,50.39
137.5,0,-5,2027,-1.802197802,2723,-59.38461538,2471,-37.23076923,851,96.79
137.5,0,-5,2024,-2.065934066,2715,-58.68131868,2465,-36.7032967,839,93.31
137.5,0,-5,2026,-1.89010989,2720,-59.12087912,2469,-37.05494505,846,95.34
150,0,-5,2024,-2.065934066,2712,-58.41758242,2435,-34.06593407,835,92.15
162.5,0,-5,2031,-1.450549451,2709,-58.15384615,2398,-30.81318681,825,89.25
175,0,-5,2031,-1.450549451,2707,-57.97802198,2352,-26.76923077,807,84.03
187.5,0,-5,2031,-1.450549451,2708,-58.06593407,2310,-23.07692308,795,80.55
200,0,-5,2031,-1.450549451,2712,-58.41758242,2267,-19.2967033,784,77.36
212.5,0,-5,2031,-1.450549451,2719,-59.03296703,2223,-15.42857143,772,73.88
225,0,-5,2030,-1.538461538,2728,-59.82417582,2180,-11.64835165,766,72.14
237.5,0,-5,2031,-1.450549451,2737,-60.61538462,2133,-7.516483516,755,68.95
250,0,-5,2032,-1.362637363,2748,-61.58241758,2081,-2.945054945,746,66.34
262.5,0,-5,2034,-1.186813187,2765,-63.07692308,2029,1.626373626,732,62.28
137.5,-12.5,-5,1965,-7.252747253,2723,-59.38461538,2468,-36.96703297,852,97.08
150,-12.5,-5,1966,-7.164835165,2715,-58.68131868,2431,-33.71428571,834,91.86
162.5,-12.5,-5,1970,-6.813186813,2708,-58.06593407,2394,-30.46153846,820,87.8
175,-12.5,-5,1978,-6.10989011,2705,-57.8021978,2352,-26.76923077,807,84.03
187.5,-12.5,-5,1979,-6.021978022,2706,-57.89010989,2312,-23.25274725,797,81.13
200,-12.5,-5,1984,-5.582417582,2713,-58.50549451,2270,-19.56043956,787,78.23
212.5,-12.5,-5,1988,-5.230769231,2720,-59.12087912,2226,-15.69230769,775,74.75
225,-12.5,-5,1990,-5.054945055,2728,-59.82417582,2179,-11.56043956,765,71.85
237.5,-12.5,-5,1992,-4.879120879,2734,-60.35164835,2132,-7.428571429,756,69.24
250,-12.5,-5,1992,-4.879120879,2748,-61.58241758,2085,-3.296703297,750,67.5
262.5,-12.5,-5,1994,-4.703296703,2764,-62.98901099,2030,1.538461538,735,63.15
87.5,-137.5,-5,1381,-58.59340659,2712,-58.41758242,2392,-30.28571429,822,88.38
87.5,-150,-5,1352,-61.14285714,2712,-58.41758242,2357,-27.20879121,809,84.61
87.5,-162.5,-5,1333,-62.81318681,2713,-58.50549451,2320,-23.95604396,800,82
87.5,-175,-5,1318,-64.13186813,2716,-58.76923077,2282,-20.61538462,794,80.26
87.5,-187.5,-5,1298,-65.89010989,2721,-59.20879121,2246,-17.45054945,783,77.07
87.5,-200,-5,1282,-67.2967033,2729,-59.91208791,2201,-13.49450549,770,73.3
87.5,-212.5,-5,1270,-68.35164835,2734,-60.35164835,2158,-9.714285714,763,71.27
87.5,-225,-5,1255,-69.67032967,2747,-61.49450549,2112,-5.67032967,752,68.08
87.5,-237.5,-5,1247,-70.37362637,2761,-62.72527473,2065,-1.538461538,742,65.18
87.5,-250,-5,1234,-71.51648352,2774,-63.86813187,2016,2.769230769,732,62.28
87.5,-137.5,15,1374,-59.20879121,2635,-51.64835165,2430,-33.62637363,815,86.35
87.5,-150,15,1356,-60.79120879,2636,-51.73626374,2395,-30.54945055,806,83.74
87.5,-162.5,15,1336,-62.54945055,2638,-51.91208791,2356,-27.12087912,794,80.26
87.5,-175,15,1314,-64.48351648,2641,-52.17582418,2318,-23.78021978,785,77.65
87.5,-187.5,15,1300,-65.71428571,2653,-53.23076923,2278,-20.26373626,772,73.88
87.5,-200,15,1282,-67.2967033,2660,-53.84615385,2238,-16.74725275,766,72.14
87.5,-212.5,15,1272,-68.17582418,2672,-54.9010989,2191,-12.61538462,754,68.66
87.5,-225,15,1255,-69.67032967,2683,-55.86813187,2146,-8.659340659,747,66.63
87.5,-237.5,15,1244,-70.63736264,2700,-57.36263736,2099,-4.527472527,735,63.15
87.5,-250,15,1236,-71.34065934,2716,-58.76923077,2045,0.21978022,721,59.09
