x,y,z,Raw q1,q1,Raw q2,q2,Raw q3,q3,Raw q4,q4
87.5,-137.5,-5,1381,-58.59340659,2713,-58.50549451,2392,-30.28571429,824,91.6422
87.5,-137.5,-5,1379,-58.76923077,2711,-58.32967033,2390,-30.10989011,820,90.4692
87.5,-137.5,-5,1383,-58.41758242,2712,-58.41758242,2393,-30.37362637,820,90.4692
87.5,-137.5,-5,1380,-58.68131868,2714,-58.59340659,2394,-30.46153846,821,90.7625
87.5,-137.5,-5,1380,-58.68131868,2710,-58.24175824,2391,-30.1978022,823,91.3490
87.5,-137.5,-5,1379,-58.76923077,2713,-58.50549451,2393,-30.37362637,823,91.3490
87.5,-137.5,-5,1382,-58.50549451,2712,-58.41758242,2391,-30.1978022,824,91.6422
87.5,-137.5,-5,1383,-58.41758242,2711,-58.32967033,2392,-30.28571429,820,90.4692
87.5,-137.5,-5,1381,-58.59340659,2714,-58.59340659,2393,-30.37362637,825,91.9355
87.5,-212.5,15,1272,-68.17582418,2672,-54.9010989,2191,-12.61538462,754,71.1144
87.5,-212.5,15,1270,-68.35164835,2674,-55.07692308,2193,-12.79120879,755,71.4076
87.5,-212.5,15,1274,-68,2672,-54.9010989,2189,-12.43956044,755,71.4076
87.5,-212.5,15,1269,-68.43956044,2670,-54.72527473,2192,-12.7032967,752,70.5279
87.5,-212.5,15,1270,-68.35164835,2674,-55.07692308,2191,-12.61538462,753,70.8211
87.5,-212.5,15,1274,-68,2674,-55.07692308,2190,-12.52747253,753,70.8211
87.5,-212.5,15,1272,-68.17582418,2674,-55.07692308,2189,-12.43956044,751,70.2346
87.5,-212.5,15,1272,-68.17582418,2674,-55.07692308,2190,-12.52747253,756,71.7009
87.5,-212.5,15,1271,-68.26373626,2670,-54.72527473,2189,-12.43956044,752,70.5279
87.5,-250,15,1236,-71.34065934,2716,-58.76923077,2045,0.21978022,721,61.4370
87.5,-250,15,1235,-71.42857143,2719,-59.03296703,2043,0.395604396,722,61.7302
87.5,-250,15,1235,-71.42857143,2717,-58.85714286,2047,0.043956044,722,61.7302
87.5,-250,15,1234,-71.51648352,2716,-58.76923077,2044,0.307692308,719,60.8504
87.5,-250,15,1235,-71.42857143,2717,-58.85714286,2043,0.395604396,718,60.5572
87.5,-250,15,1235,-71.42857143,2716,-58.76923077,2041,0.571428571,723,62.0235
87.5,-250,15,1235,-71.42857143,2719,-59.03296703,2048,-0.043956044,722,61.7302
87.5,-250,15,1234,-71.51648352,2714,-58.59340659,2043,0.395604396,723,62.0235
87.5,-250,15,1236,-71.34065934,2714,-58.59340659,2042,0.483516484,723,62.0235
0,-500,200,,89.58,,89.98,,90,,90
0,-500,200,,90.5,,90.3,,90.3,,90.3
0,-500,200,,90.3,,90.3,,90.02,,89.98
0,-500,200,,90.5,,89.98,,89.96,,90.02
0,-500,200,,90.3,,89.96,,89.58,,90.5
0,-500,200,,90.02,,90.02,,90.5,,89.96
0,-500,200,,90.02,,89.58,,90.02,,89.98
0,-500,200,,90.5,,89.98,,89.98,,90.3
0,-500,200,,80.98,,90.3,,90.5,,89.58
0,-500,200,,90.5,,89.96,,90.02,,90.5
0,-500,200,,90.3,,90.02,,90.5,,90.3
0,-500,200,,89.98,,90.5,,90.5,,89.96
0,-500,200,,90.02,,90.3,,90.3,,90.5
0,-500,200,,89.96,,90.02,,90.5,,90.02
0,-500,200,,90.02,,90.5,,89.58,,90.3
200,200,100,,45.02,,-45.2,,0.2,,45.11
200,200,100,,45.12,,-44.99,,0.13,,44.8
200,200,100,,44.98,,-45.12,,0.4,,45.11
200,200,100,,44.8,,-45.23,,-0.01,,45.11
200,200,100,,45.11,,-44.89,,0.14,,44.8
200,200,100,,45.21,,-44.78,,-0.01,,45.02
200,200,100,,44.99,,-45.23,,0.13,,44.8
200,200,100,,45.11,,-45.11,,0.1,,45.11
200,200,100,,45.14,,-45.3,,-0.01,,45.11
